Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor
L_90S_400_SS,33,2,1,0,0,0,1.570796327,0.065,0.4,0,0,0,0,0,0,0,0,0,0,1.6160001,0.09464415,2.34E-06,-7.9E-07,2.34E-06,0.00559213,0.00535224,-7.9E-07,0.00535224,0.09132238,6.18E-06,-0.2005622,0.02892278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_90S_250_LL,34,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.7089495,0.10368871,2.4E-06,-7.7E-07,2.4E-06,0.00638808,0.00409596,-7.7E-07,0.00409596,0.1003728,5.97E-06,-0.12505401,0.0257727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_90S_250_LS,35,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.6406895,0.09474015,2.35E-06,-7.9E-07,2.35E-06,0.0057847,0.00531963,-7.9E-07,0.00531963,0.09157253,6.15E-06,-0.12505401,0.02884953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_90S_250_SS,36,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.6160001,0.09464415,2.34E-06,-7.9E-07,2.34E-06,0.00559213,0.00535224,-7.9E-07,0.00535224,0.09132238,6.18E-06,-0.12505401,0.02892278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_90S_compact_LL,37,2,1,0,0,0.114,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.57851739,0.00206324,-0.00034007,-0.00159562,-0.00034007,0.00567603,-0.00013363,-0.00159562,-0.00013363,0.00478261,0.06001076,0.00526783,0.03968835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_90S_compact_LS,38,2,1,0,0,0.101,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.49978203,0.00158289,-0.00019851,-0.00104466,-0.00019851,0.00358538,-9.18E-05,-0.00104466,-9.18E-05,0.00306808,0.04710252,0.00439425,0.03788641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_90S_compact_SS,39,2,1,0,0,0.088,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.42721733,0.00125908,-0.00016834,-0.00086879,-0.00016834,0.00276316,-9.07E-05,-0.00086879,-9.07E-05,0.00215127,0.04636373,0.00506804,0.03868014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_360_600_LL,40,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.743,0.00566908,1.08E-06,-0.02087127,1.08E-06,0.2331516,-3.4E-07,-0.02087127,-3.4E-07,0.23059721,0.30000221,2.31E-06,0.04375652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_360_600_LS,41,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.649,0.00541576,4E-07,-0.02034341,4E-07,0.21944801,-3.5E-07,-0.02034341,-3.5E-07,0.21669424,0.29272128,3.09E-06,0.04414505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_360_600_SS,42,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,2.2391716,0.00777604,-4.26E-06,-0.03072368,-4.26E-06,0.28765919,-8.2E-07,-0.03072368,-8.2E-07,0.2830404,0.29993465,3.82E-06,0.04566655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
