Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor,collision_size_x,collision_size_y,collision_size_z,collision_pos_x,collision_pos_y,collision_pos_z
L_180_400_SS,12,2,1,0,0,0.4,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,1.8356679,0.02281557,2.07e-06,0.04202642,2.07e-06,0.12387146,-1.39e-06,0.04202642,-1.39e-06,0.10362825,0.19997115,-5.05e-06,-0.06506654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.47542866319418,0.0879633873701096,0.355176985263824,-0.194112230092287,1.74492597579956e-05,0.0809038877487183
L_180_compact_LL,13,2,1,0,0,0.116,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0.60859447,0.00205444,-1e-07,-0.00170034,-1e-07,0.00547605,-4e-08,-0.00170034,-4e-08,0.00527697,0.0641634,1.53e-06,0.03671599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.227949537336826,0.112000003457069,0.0879999995231632,-0.0579747669398785,0,-0.0439999997615812
L_180_compact_LS,14,2,1,0,0,0.1,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0.48333575,0.00145537,-7e-08,-0.00110244,-7e-08,0.00342047,-3e-08,-0.00110244,-3e-08,0.00312388,0.052447,1.7e-06,0.03636177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.199946511536837,0.112000003457069,0.0879999995231631,-0.0559762921184301,0,-0.0439999997615813
L_180_compact_SS,15,2,1,0,0,0.092,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0.4277142,0.00117159,-6e-08,-0.00093794,-6e-08,0.00280472,-3e-08,-0.00093794,-3e-08,0.00239096,0.05097321,1.66e-06,0.03663594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.179996956139803,0.0879999995231628,0.0879999995231631,-0.0460015144199133,0,-0.0439999997615813
L_90L_600_LL,16,2,1,0,0,0,1.570796327,-0.6,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,2.3706301,0.31792492,-1.44e-06,-4.71e-06,-1.44e-06,0.29321741,-0.07556741,-4.71e-06,-0.07556741,0.02870628,4.3e-06,0.0971492,0.29434953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.656000085175037,0.111996203660965,0.211999997496605,-0.272000040858984,0,0.0150000005960464
L_90L_600_LS,17,2,1,0,0,0,1.570796327,-0.6,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,2.3489312,0.30843316,-1.43e-06,-4.65e-06,-1.43e-06,0.28367718,-0.07442966,-4.65e-06,-0.07442966,0.02841186,4.3e-06,0.09732133,0.29099979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.643999557942152,0.111984089016914,0.209878109395504,-0.278000304475427,0,0.0159390531480312
L_90L_600_SS,18,2,1,0,0,0,1.570796327,-0.6,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,2.2905081,0.30806733,-1.44e-06,-4.65e-06,-1.44e-06,0.28331367,-0.07433145,-4.65e-06,-0.07433145,0.02797638,4.36e-06,0.0993743,0.29734389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.643999557942152,0.0879531688988209,0.197999998927116,-0.278000304475427,1.23400241136551e-05,0.00999999791383743
L_90L_400_LL,19,2,1,0,0,0,1.570796327,-0.4,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.6991146,0.11235419,-1.44e-06,-2.76e-06,-1.44e-06,0.09607017,-0.03542233,-2.76e-06,-0.03542233,0.01933427,6.01e-06,0.09127994,0.1974932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.455999832600355,0.111991547048092,0.211999997496605,-0.172000179067254,0,0.0150000005960464
L_90L_400_LS,20,2,1,0,0,0,1.570796327,-0.4,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.6774158,0.10769661,-1.43e-06,-2.73e-06,-1.43e-06,0.09136413,-0.03462531,-2.73e-06,-0.03462531,0.01903985,6.02e-06,0.09144505,0.19413672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.443999569863081,0.111984089016914,0.209878109395504,-0.178000310435891,0,0.0159390531480312
L_90L_400_SS,21,2,1,0,0,0,1.570796327,-0.4,-0.065,0,0,0,0,0,1.570796327,0,0,0,0,1.6189926,0.10733078,-1.44e-06,-2.73e-06,-1.44e-06,0.09100061,-0.0345271,-2.73e-06,-0.0345271,0.01860438,6.17e-06,0.0941375,0.19961677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.443999569863081,0.0879531688988209,0.197999998927116,-0.178000310435891,1.23400241136551e-05,0.00999999791383743
