Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor,collision_size_x,collision_size_y,collision_size_z,collision_pos_x,collision_pos_y,collision_pos_z
L_360_compact_SS,51,2,1,0,0,0.093,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.47356632,0.00132072,3e-08,-0.00088073,3e-08,0.00300945,0,-0.00088073,0,0.00254139,0.04842422,0,0.03666343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0879999995231628,0.180940330028534,0.0879999995231633,0,-0.0465118885040283,-0.0439999997615812
L_wrist_1,52,2,1,0,0,0.12735,1.570796327,0.054,-0.05935,0,0,0,0,0,0,0,0,0,0,0.70635824,0.00615694,-0.00504601,0.00041448,-0.00504601,0.00801288,0.00015027,0.00041448,0.00015027,0.01111023,0.07727724,0.06563371,0.00995462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.214984204620123,0.177826907485723,0.191340148448944,-0.0635278541594744,0.0450865495949984,0.0076700821518898
L_wrist_2,53,2,1,0,0,0,1.570796327,0.053,0.143,-1.570796327,0,0,0,0,0,0,0,0,0,0.53950206,0.00438405,-6e-08,-3e-08,-6e-08,0.0016211,-0.00088051,-3e-08,-0.00088051,0.00355573,0,-0.05793719,-0.00060975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0899304747581482,0.177999999374151,0.18800001513958,0,0.0440000016242266,-0.0940000008940698
L_wrist_3,54,2,1,0,0,0,-1.570796327,-0.135,-0.053,0,0,0,0,0,-1.570796327,0,0,0,0,0.54109021,0.00808219,-3e-08,6e-08,-3e-08,0.00536142,0.00345633,6e-08,0.00345633,0.00351416,0,-0.05815117,0.08246352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.179944973438978,0.0899420827627182,0.185999996960163,-0.0450275186449289,-4.06429171562195e-06,0.00499999895691872
L_Rasmus_01_90_LL,55,2,1,0,0,0,-1.570796327,-0.1009,-0.0655,0,0,0,0,0,-1.570796327,0,0,0,0,0.58191,0.00488594,7.46e-06,-6.6e-06,7.46e-06,0.00345303,0.00171351,-6.6e-06,0.00171351,0.00307716,0.0002,-0.03656,0.05452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.162564616650343,0.123596228659153,0.203679896891117,-0.0196176934987307,0,0.0218399502336979
L_Rasmus_02_90_SS,56,2,1,0,0,0.063,1.570796327,0.058,-0.06,-1.570796327,0,0,0,0,3.141592654,0,0,0,0,0.33789,0.0015534,0.0007772,-0.0006853,0.0007772,0.00182359,0.00052592,-0.0006853,0.00052592,0.00208937,-0.0436,0.0352,-0.02374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.160731181502342,0.160388626158237,0.18749675899744,0.0306160524487495,-0.0302056856453419,0.0142483748495579
L_360_350_LS,57,2,1,0,0,0.35,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48e-06,-0.01413661,-2.48e-06,0.09369026,-8.2e-07,-0.01413661,-8.2e-07,0.09071178,0.19612783,5.31e-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.449999373406172,0.111992195248604,0.0909999981522573,-0.181000301614404,-2.18674540519714e-06,-0.0454999990761274
L_360_300_LS,58,2,1,0,0,0.3,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48e-06,-0.01413661,-2.48e-06,0.09369026,-8.2e-07,-0.01413661,-8.2e-07,0.09071178,0.19612783,5.31e-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.399994418025017,0.111960507929325,0.0909999981522565,-0.156002707779408,0,-0.0454999990761278
B_simple,59,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180000007152557,0.180000007152557,0.100000002980232,0,0,-0.05
B_90,60,2,0,0,0,0,1.570796327,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180000007152557,0.180000007152557,0.259999990463257,0,0,-0.129999995231628
E_Schimaneck,61,3,0,0,0,0,0,-0.121,0,0.052359878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0848528146743774,0.0853100642561913,0.122689997195266,0,0.00234374403953552,-0.0603449990157969
E_Schunk,62,3,0,0,0,0,-1.570796327,-0.032,0.09,3.141592654,0,0,0,0,-1.570796327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0650000013411045,0.0848528146743774,0.134211294294801,-1.86264514923096e-09,0,-0.066605646192329
MXL+90,63,1,0,0,0,0,0,0,0,0,0,0,-0.1353,0,-1.570796327,0,0,3.141592654,-3.141592654,2.795,0.014,2.08e-06,3.34e-06,2.08e-06,0.014,-4.85e-06,3.34e-06,-4.85e-06,0.004,0.00018,0.00013,0.0543,0.588,0.00084,4.47e-07,-1.1e-05,4.47e-07,0.000833,-8.53e-07,-1.1e-05,-8.53e-07,0.000732,0.00063,0.00019,-0.00966,0.00037,36.56,51.46,0.13,160,205.92,0,0.8,0,2,2,262144,0.01556,0.109999999403954,0.109999999403954,0.205480013042688,0,0,-0.080150006338954
L_360_400_LL_actual,64,2,1,0,0,0.4,3.141592654,0,0,-1.570796327,0,0,0,0,-1.570796327,0,0,0,0,1.61566906,0.0057238,-2.41e-06,-0.01438049,-2.41e-06,0.09865532,-8.2e-07,-0.01438049,-8.2e-07,0.09583994,0.19995997,5.17e-06,0.04443478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.111989088356495,0.511779628694057,0.0890000015497208,0,-0.200000006705523,-0.0445000007748604
L_360_300_LS_actual,65,2,1,0,0,0.3,3.141592654,0,0,-1.570796327,0,0,0,0,-1.570796327,0,0,0,0,1.5916602,0.00553703,-2.48e-06,-0.01413661,-2.48e-06,0.09369026,-8.2e-07,-0.01413661,-8.2e-07,0.09071178,0.19612783,5.31e-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.111960507929325,0.399994418025017,0.0909999981522565,0,-0.156002707779408,-0.0454999990761278
L_90S_compact_LL_actual,66,2,1,0,0,0.114,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.57851739,0.00206324,-0.00034007,-0.00159562,-0.00034007,0.00567603,-0.00013363,-0.00159562,-0.00013363,0.00478261,0.06001076,0.00526783,0.03968835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.227948639541864,0.114000000059605,0.11400000192225,-0.0569743197411299,0,-0.0470000011846423
L_90L_250_LS_actual,67,2,1,0,0,0,1.570796327,-0.25,-0.065,0,0,0,0,0,0,0,0,0,0,1.6774158,0.10769661,-1.43e-06,-2.73e-06,-1.43e-06,0.09136413,-0.03462531,-2.73e-06,-0.03462531,0.01903985,6.02e-06,0.09144505,0.12595997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.111946776509285,0.293997842818499,0.211999997496605,0,-0.103001167997718,0.0150000005960464
