Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
18	-92.4	23.896442	-8.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	91.4	100.0	99	-5.2438064	3.890726	-0.19569165	-16.181578	-5.244179	3.8896518	-0.25368074	-16.38586	-3.5073137	1.038155	0.89670753	-11.604663	4.4934406	0.5688738	13737.154768943787
19	-92.333336	20.220999	-8.0	-100.0	0.0	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	91.333336	100.0	99	-5.245796	3.911549	-0.116661035	-16.979952	-5.2457423	3.9106538	-0.20262653	-17.086058	-3.491003	1.0365787	1.0465994	-10.864726	4.497829	0.5500243	14470.148525238037
20	-99.066666	5.026153	-72.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	98.066666	100.0	99	-5.236023	3.9499855	-0.11433929	-17.597271	-5.236135	3.9490366	-0.16782811	-17.220978	-3.491143	1.0336721	0.7264161	-10.424967	4.4951773	0.5447042	15252.198971271515
21	-98.566666	7.7187357	-57.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	97.566666	100.0	99	-5.301383	4.0519547	-0.110481024	-17.720646	-5.3016205	4.051405	-0.17092502	-17.826313	-3.5269866	1.0092368	0.31746864	-10.976921	4.571524	0.52729124	16071.795785188675
22	-94.86667	14.6509	-46.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	93.86667	100.0	99	-5.370096	4.1306276	-0.11813815	-17.533354	-5.3705826	4.129851	-0.1606836	-17.698416	-3.5448492	1.0010521	0.7349057	-11.387086	4.6500897	0.53835106	16963.15611743927
23	-87.63333	28.83572	-7.0	-100.0	0.0	0.2	0.0	-100.0	0.0	-100.0	-100.0	86.63333	100.0	99	-5.44561	4.213576	-0.054681342	-17.86594	-5.4452863	4.2127485	-0.14036895	-17.79987	-3.5317183	1.0169164	1.9244647	-12.243926	4.7303066	0.5630647	17800.84141254425
24	-87.96667	28.877308	-6.0	-100.0	0.0	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	86.96667	100.0	99	-5.5234694	4.2882533	-0.040190205	-17.866373	-5.523705	4.2872653	-0.14958756	-17.834461	-3.5289576	1.0169334	1.3726044	-10.507906	4.80968	0.5776461	18651.058875083923
25	-96.03333	16.696274	-9.0	-100.0	0.0	0.13333334	0.0	-58.0	0.0	-58.0	-58.0	95.03333	58.0	99	-5.5636888	4.323428	-0.09017337	-18.16996	-5.56372	4.321902	-0.15650086	-18.022654	-3.5101826	1.0395087	1.8202591	-10.786234	4.8557773	0.61687225	19500.33380651474
26	-95.63333	13.402696	-44.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	94.63333	100.0	99	-5.570214	4.3514786	-0.049245436	-18.463837	-5.5704885	4.35014	-0.122611746	-18.454933	-3.4755301	1.0560985	2.5161076	-10.577868	4.8597283	0.6103828	20374.469824790955
27	-96.933334	16.514505	-8.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	95.933334	100.0	99	-5.6042857	4.369229	-0.07681697	-18.712639	-5.604305	4.3673224	-0.081255704	-18.520779	-3.4816635	1.0631392	2.0762053	-10.7696085	4.9019113	0.6282933	21138.6172208786
