Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
18	-76.73333	34.65346	-9.0	-100.0	0.0	0.33333334	0.26666668	-100.0	0.0	-100.0	-100.0	75.73333	100.0	99	-8.306145	4.725034	-0.18176879	-15.535218	-8.306468	4.7233944	-0.23296499	-15.680363	-3.3552933	1.2134925	2.0619974	-11.144702	7.7426605	1.0624331	9990.304953336716
19	-76.23333	34.22444	-7.0	-100.0	0.0	0.36666667	0.36666667	-100.0	0.0	-100.0	-100.0	75.23333	100.0	99	-8.272317	4.928775	-0.19341351	-16.207184	-8.272791	4.927287	-0.22586389	-16.532356	-3.3527753	1.1978897	2.1650572	-11.275523	7.6990414	1.0081356	10591.062021970749
20	-83.86667	30.5862	-10.0	-100.0	0.0	0.23333333	0.23333333	-100.0	0.0	-100.0	-100.0	82.86667	100.0	99	-8.114654	5.087599	-0.17201427	-16.655626	-8.115363	5.085954	-0.20726173	-16.841656	-3.2433555	1.3001478	2.9324756	-11.147201	7.488466	0.8507719	11257.218064546585
21	-75.36667	35.75983	-8.0	-100.0	0.0	0.36666667	0.33333334	-100.0	0.0	-100.0	-100.0	74.36667	100.0	44	-7.852943	5.2325306	-0.15402009	-17.031609	-7.852885	5.2318926	-0.1778172	-17.166265	-3.2115548	1.324961	3.1324983	-11.241873	7.2100196	0.7025741	11847.214217424393
22	-73.03333	36.367092	-9.0	-100.0	0.033333335	0.4	0.33333334	-90.0	0.0	-90.0	-90.0	72.066666	90.0	82	-7.698857	5.321713	-0.14103305	-17.471704	-7.699098	5.320403	-0.17492358	-17.75902	-3.249043	1.2806224	2.1534777	-12.271671	7.0500245	0.60638255	12424.941346168518
23	-72.3	32.866547	-7.0	-100.0	0.0	0.46666667	0.43333334	-100.0	0.0	-100.0	-100.0	71.3	100.0	42	-7.6608334	5.407067	-0.1359343	-17.787756	-7.661084	5.4052734	-0.18323313	-17.846052	-3.3134813	1.2248216	1.4081078	-10.969373	7.027692	0.59429187	13003.287290096283
24	-78.86667	35.110046	-7.0	-100.0	0.0	0.3	0.2	-100.0	0.0	-100.0	-100.0	77.86667	100.0	11	-7.6453466	5.465357	-0.13766491	-18.037264	-7.6456485	5.46436	-0.190899	-18.302896	-3.3772676	1.1800151	1.6581945	-11.422624	7.0226507	0.6005111	13622.562386512756
25	-70.46667	37.467976	-9.0	-100.0	0.0	0.4	0.3	-100.0	0.0	-100.0	-100.0	69.46667	100.0	99	-7.670394	5.5038114	-0.1505631	-18.32843	-7.670381	5.504019	-0.17450996	-18.435871	-3.4117715	1.1503023	1.4359541	-9.762118	7.056862	0.6161685	14179.234634876251
26	-80.26667	32.120537	-16.0	-100.0	0.0	0.33333334	0.33333334	-52.0	0.0	-52.0	-52.0	79.26667	52.0	99	-7.7781935	5.557884	-0.12552015	-18.64731	-7.778134	5.5573387	-0.1551925	-18.609228	-3.4374516	1.127511	1.3129063	-11.524816	7.170345	0.6361137	14810.487580537796
27	-72.6	35.690895	-7.0	-100.0	0.0	0.43333334	0.43333334	-100.0	0.0	-100.0	-100.0	71.6	100.0	99	-7.789917	5.5651846	-0.12890825	-18.854916	-7.7901	5.564712	-0.18317886	-18.909628	-3.418129	1.1416445	2.1997566	-11.386345	7.1804934	0.63618976	15389.033141613007
