Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
18	-14.366667	16.622238	-6.0	-100.0	0.0	0.96666664	0.9	-6.0	0.0	-6.0	-6.0	13.366667	6.0	9	-4.219382	3.6459117	-0.24668247	-15.213419	-4.2193117	3.6450272	-0.21474579	-15.207154	-3.616565	0.9042996	0.78604984	-11.182655	3.4578	0.46759248	5174.134347677231
19	-12.0	5.033223	-6.0	-23.0	0.0	1.0	0.9	-100.0	0.0	-100.0	-100.0	11.0	100.0	8	-4.2301655	3.6726706	-0.22793648	-15.62478	-4.2302613	3.6723838	-0.22950917	-15.628826	-3.6181376	0.9044209	0.45446587	-11.585205	3.4706998	0.46249643	5339.012666225433
20	-10.566667	4.4697747	-6.0	-24.0	0.0	1.0	0.93333334	-5.0	0.0	-5.0	-5.0	9.566667	5.0	23	-4.2249546	3.6801424	-0.24370019	-15.736555	-4.225461	3.6788568	-0.235718	-15.595798	-3.6123595	0.91619366	0.17207146	-13.842298	3.4659429	0.4609964	5473.847784996033
21	-10.7	4.450843	-4.0	-26.0	0.0	1.0	0.96666664	-6.0	0.0	-6.0	-6.0	9.7	6.0	11	-4.2014685	3.681117	-0.2322137	-15.72641	-4.2014422	3.6798968	-0.23970029	-15.899307	-3.6093078	0.91531384	0.40825176	-10.127338	3.4492671	0.465696	5608.403728485107
22	-11.066667	4.843782	-6.0	-24.0	0.0	1.0	1.0	-6.0	0.0	-6.0	-6.0	10.066667	6.0	17	-4.1963444	3.6752498	-0.22521608	-15.8100605	-4.1963544	3.6740708	-0.21179968	-15.64076	-3.6065795	0.9169583	0.89012814	-10.143549	3.4471436	0.46216887	5746.973070144653
23	-13.833333	16.496632	-6.0	-100.0	0.0	0.96666664	0.9	-5.0	0.0	-5.0	-5.0	12.833333	5.0	6	-4.190208	3.6787076	-0.21161154	-16.105686	-4.189974	3.677575	-0.18681161	-15.877451	-3.5998404	0.9206868	0.8818102	-13.131174	3.4372518	0.46378145	5902.687655448914
24	-19.066668	27.19428	-6.0	-100.0	0.0	0.9	0.9	-5.0	0.0	-5.0	-5.0	18.066668	5.0	12	-4.207573	3.6595025	-0.18878469	-15.826277	-4.2077217	3.6579576	-0.19768651	-15.914246	-3.5921583	0.92104125	0.5282116	-10.983656	3.4602442	0.46664572	6097.432371377945
25	-18.4	22.256983	-7.0	-100.0	0.0	0.93333334	0.9	-6.0	0.0	-6.0	-6.0	17.4	6.0	6	-4.207277	3.644524	-0.19441031	-15.667166	-4.207332	3.6426983	-0.18134582	-15.963139	-3.6032593	0.92408025	1.5324669	-10.60022	3.4678092	0.4834787	6286.133312702179
26	-12.066667	5.8419933	-1.0	-28.0	0.0	1.0	0.9	-100.0	0.0	-100.0	-100.0	11.066667	100.0	17	-4.2415657	3.6625934	-0.19339652	-15.933967	-4.2413955	3.6606734	-0.19014001	-16.03545	-3.6072843	0.91769737	0.884037	-13.531408	3.5023072	0.5045353	6451.667617082596
27	-16.066668	16.70316	-7.0	-100.0	0.0	0.96666664	0.9	-6.0	0.0	-6.0	-6.0	15.066667	6.0	18	-4.232888	3.6654437	-0.19470385	-15.806536	-4.2326865	3.6638772	-0.16169123	-15.735802	-3.6071687	0.91521984	1.623033	-9.995208	3.5003364	0.50798625	6624.876849412918
28	-16.8	16.567839	-6.0	-100.0	0.0	0.96666664	0.9	-6.0	0.0	-6.0	-6.0	15.8	6.0	13	-4.27077	3.6883476	-0.18357432	-16.279032	-4.2711644	3.686691	-0.17408697	-15.950486	-3.5992384	0.9233088	2.2065945	-11.93111	3.5406113	0.5170206	6803.085848808289
29	-18.9	20.5026	-6.0	-100.0	0.0	0.96666664	0.9	-4.0	0.0	-4.0	-4.0	17.9	4.0	7	-4.3073997	3.7077117	-0.14970551	-15.993258	-4.307596	3.7059748	-0.1642791	-15.789681	-3.6092114	0.9123785	4.111087	-11.650379	3.5866854	0.52661836	6995.22153377533
30	-16.233334	22.68727	-7.0	-100.0	0.0	0.93333334	0.8666667	-8.0	0.0	-8.0	-8.0	15.233334	8.0	7	-4.36951	3.7347105	-0.1557777	-16.037432	-4.369342	3.733307	-0.14867876	-15.800743	-3.6021469	0.9244262	0.49055004	-11.019956	3.6532784	0.560462	7170.131324529648
31	-14.366667	16.290045	-7.0	-100.0	0.0	0.96666664	0.8666667	-6.0	0.0	-6.0	-6.0	13.366667	6.0	10	-4.427267	3.7597888	-0.14271969	-16.021578	-4.42735	3.758273	-0.13494515	-15.877749	-3.6097543	0.91595834	1.1297436	-11.255314	3.7184968	0.58097196	7330.221900224686
32	-14.5	16.952385	-1.0	-100.0	0.0	0.96666664	0.8666667	-6.0	0.0	-6.0	-6.0	13.5	6.0	23	-4.485154	3.8114054	-0.13689108	-16.4007	-4.4849467	3.8105648	-0.13725066	-16.044456	-3.5979	0.9380263	3.6285448	-10.2912245	3.7830493	0.6061649	7493.546652793884
