Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
18	-97.76667	9.156722	-52.0	-100.0	0.0	0.06666667	0.0	-96.0	0.0	-96.0	-96.0	96.76667	96.0	99	-8.114436	4.8899865	-0.14074814	-18.648079	-8.11451	4.8887067	-0.20237412	-18.576256	-3.4716358	1.0839301	1.2537136	-11.73676	7.5193286	0.9983647	13980.222938299179
19	-97.2	11.08272	-44.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	96.2	100.0	99	-8.092492	5.158503	-0.12592752	-19.415337	-8.092784	5.157033	-0.15704602	-19.202475	-3.430147	1.1158779	1.2966404	-11.925962	7.4885497	0.8548652	14748.313969612122
20	-95.833336	16.745316	-10.0	-100.0	0.0	0.1	0.0	-68.0	0.0	-68.0	-68.0	94.833336	68.0	99	-8.201029	5.3974795	-0.12140283	-20.409412	-8.200905	5.3968253	-0.11547002	-20.212887	-3.495358	1.0633657	1.1573143	-12.355011	7.612662	0.839699	15498.916906833649
21	-95.76667	17.465551	-8.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.76667	100.0	99	-8.338042	5.5868134	-0.10481518	-21.309816	-8.338149	5.586166	-0.12112113	-21.307886	-3.5542798	1.0126905	0.46182823	-11.038424	7.7675457	0.90213805	16255.97578048706
22	-93.9	22.824474	-8.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	92.9	100.0	99	-8.600739	5.79447	-0.106374495	-22.53544	-8.60072	5.7942314	-0.117862165	-22.537127	-3.6047742	0.9606337	0.0407238	-11.970559	8.048884	0.9686556	16997.591992855072
23	-95.666664	17.752619	-7.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.666664	100.0	99	-8.892971	5.99774	-0.08486217	-23.273733	-8.892825	5.996506	-0.13713525	-23.125591	-3.637821	0.93305916	0.48527336	-10.374702	8.355119	1.0245813	17735.529670715332
24	-98.333336	8.975275	-50.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.333336	100.0	99	-9.16447	6.159449	-0.1134092	-23.846537	-9.16429	6.159278	-0.14272338	-23.953365	-3.6492448	0.9217796	-0.0759058	-10.887474	8.634319	1.0941435	18508.398040294647
25	-97.0	16.155495	-10.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	96.0	100.0	99	-9.426548	6.3464932	-0.12022575	-25.201414	-9.426843	6.3453603	-0.1295292	-24.755743	-3.6615262	0.91187453	0.45619774	-10.949646	8.91502	1.1735568	19255.771512269974
26	-99.4	3.2310984	-82.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	98.4	100.0	99	-9.695219	6.493277	-0.120517604	-25.48988	-9.695031	6.4940705	-0.14022009	-25.305477	-3.646447	0.915925	-0.13600922	-10.774646	9.185028	1.2184098	20036.07636833191
27	-95.566666	17.753277	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.566666	100.0	99	-9.92371	6.667185	-0.1111647	-25.946503	-9.923882	6.666255	-0.15530227	-25.828943	-3.6209924	0.9441912	2.3284712	-11.12163	9.415007	1.2765025	20791.60224056244
28	-93.76667	20.051073	-7.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	92.76667	100.0	99	-9.922802	6.8438168	-0.097946875	-26.826838	-9.922853	6.8439474	-0.13942063	-26.563547	-3.4509037	1.1052303	2.721609	-11.080023	9.357772	1.2026925	21537.6038210392
29	-92.4	17.048166	-48.0	-100.0	0.0	0.16666667	0.0	-97.0	0.0	-97.0	-97.0	91.4	97.0	99	-9.774955	7.068648	-0.087029785	-27.41916	-9.774839	7.068729	-0.13811499	-27.292685	-3.3773909	1.1495492	1.382751	-10.914209	9.186217	1.1024597	22270.327689170837
30	-95.76667	17.358347	-9.0	-100.0	0.0	0.06666667	0.0	-55.0	0.0	-55.0	-55.0	94.76667	55.0	99	-9.598586	7.2129564	-0.095390886	-28.05544	-9.598651	7.2122636	-0.13100696	-27.809591	-3.4009283	1.1284388	0.9139147	-10.769648	9.013483	1.065464	23019.210208654404
31	-93.2	21.07036	-9.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	92.2	100.0	99	-9.580352	7.3641453	-0.09973946	-28.349579	-9.580521	7.364164	-0.12927845	-28.362349	-3.4329138	1.104813	1.663867	-9.79739	8.995506	1.042336	23751.855499505997
32	-96.9	16.50929	-8.0	-100.0	0.0	0.1	0.0	-56.0	0.0	-56.0	-56.0	95.9	56.0	99	-9.577914	7.458963	-0.12921803	-28.55307	-9.577851	7.4590735	-0.13246673	-28.632473	-3.4519396	1.0854732	1.0225134	-11.004407	8.991685	1.007974	24505.99803161621
33	-91.433334	24.156	-7.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	90.433334	100.0	99	-9.464317	7.53399	-0.094925776	-28.915316	-9.464896	7.5331035	-0.117274374	-29.1521	-3.3062267	1.207919	1.9425688	-10.115388	8.838917	0.91844505	25234.032277584076
34	-93.9	18.909168	-7.0	-100.0	0.033333335	0.1	0.0	-100.0	0.0	-100.0	-100.0	92.933334	100.0	99	-9.1522255	7.5727315	-0.1027272	-29.882595	-9.151881	7.5724535	-0.11190182	-29.413544	-3.239839	1.2569416	1.9208803	-11.267662	8.5057	0.7846684	25982.450335502625
35	-95.3	13.847141	-45.0	-100.0	0.0	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	94.3	100.0	99	-8.876464	7.5245037	-0.11421905	-29.83444	-8.87689	7.52421	-0.103903145	-29.899004	-3.2462165	1.2457361	1.7984514	-12.665013	8.2314	0.7447792	26740.200875520706
36	-96.96667	11.368035	-52.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	95.96667	100.0	99	-8.695369	7.4453645	-0.114753075	-29.71567	-8.695121	7.4458475	-0.1226647	-29.866856	-3.29817	1.2070552	1.5643306	-10.434085	8.057514	0.71052885	27509.250945568085
37	-96.96667	16.335	-9.0	-100.0	0.0	0.033333335	0.0	-49.0	0.0	-49.0	-49.0	95.96667	49.0	99	-8.595643	7.3342476	-0.10194068	-30.355648	-8.595763	7.3335752	-0.11685392	-30.173073	-3.3329475	1.1788412	1.3616896	-10.49784	7.969068	0.72377	28265.323622703552
38	-89.63333	25.248741	-7.0	-100.0	0.033333335	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	88.666664	100.0	99	-8.476499	7.2094393	-0.08747254	-30.564514	-8.476426	7.209741	-0.11151081	-30.508913	-3.2561789	1.2335618	1.7057228	-11.947426	7.8318357	0.6724987	28984.558287620544
39	-78.46667	32.02263	-7.0	-100.0	0.13333334	0.26666668	0.033333335	-100.0	0.0	-100.0	-100.0	77.6	100.0	99	-8.2376175	7.066962	-0.0707072	-31.075453	-8.237829	7.066726	-0.11577469	-31.367498	-3.2124567	1.2556312	1.7036715	-12.3859825	7.5794053	0.6241284	29624.36834216118
40	-85.36667	31.350157	-8.0	-100.0	0.06666667	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	84.433334	100.0	99	-8.028067	6.936287	-0.092115276	-31.615524	-8.028068	6.936561	-0.1124799	-31.25784	-3.2023304	1.2526869	2.3892488	-10.189351	7.3631024	0.57482314	30310.899775743484
41	-81.1	31.427534	-7.0	-100.0	0.06666667	0.23333333	0.0	-100.0	0.0	-100.0	-100.0	80.166664	100.0	99	-7.7832074	6.7563467	-0.08124791	-31.107023	-7.78309	6.755731	-0.10186293	-31.394188	-3.2263434	1.2371926	2.677144	-11.149397	7.1191096	0.5671518	30967.625405073166
42	-93.066666	14.990961	-45.0	-100.0	0.13333334	0.1	0.0	-100.0	0.0	-100.0	-100.0	92.2	100.0	99	-7.6369896	6.6223016	-0.0822661	-31.439047	-7.637329	6.622444	-0.09312038	-31.194445	-3.2396696	1.2280084	1.6720095	-13.365481	6.9681625	0.5400391	31711.55594944954
43	-94.5	13.934968	-47.0	-100.0	0.1	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	93.6	100.0	99	-7.4212117	6.400758	-0.09510677	-31.304434	-7.4214144	6.400281	-0.092752725	-32.832806	-3.2596247	1.2130923	1.6430826	-12.226931	6.756827	0.5178164	32466.199184417725
44	-91.333336	20.347538	-7.0	-100.0	0.06666667	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	90.4	100.0	99	-7.3202515	6.2485867	-0.09569415	-31.446566	-7.3201556	6.248847	-0.08815606	-31.911335	-3.2672665	1.2065545	1.4688292	-12.843187	6.65688	0.51353335	33197.266880750656
45	-89.7	18.945799	-33.0	-100.0	0.16666667	0.1	0.0	-100.0	0.0	-100.0	-100.0	88.86667	100.0	50	-7.2243514	6.1547546	-0.101321355	-31.551022	-7.2244864	6.154438	-0.09752626	-32.04315	-3.279016	1.1943569	1.2172198	-10.121258	6.561546	0.49708542	33918.17372632027
46	-85.36667	28.962603	-7.0	-100.0	0.13333334	0.13333334	0.033333335	-100.0	0.0	-100.0	-100.0	84.5	100.0	99	-7.122797	6.034402	-0.07944422	-31.56226	-7.122948	6.0340533	-0.081442714	-32.058918	-3.2801793	1.1964065	1.1800194	-11.224444	6.4606	0.48556805	34607.40745353699
47	-94.666664	16.00486	-45.0	-100.0	0.1	0.0	0.0	-100.0	0.0	-100.0	-100.0	93.76667	100.0	99	-7.028045	5.918498	-0.06178756	-30.796352	-7.0281754	5.918342	-0.07737049	-31.457817	-3.3163013	1.167437	1.2375813	-12.700514	6.370671	0.47382808	35364.24105024338
48	-91.13333	16.682793	-48.0	-100.0	0.2	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	90.333336	100.0	99	-6.9846883	5.8073664	-0.08761086	-30.455444	-6.9846435	5.8079596	-0.08308606	-31.037277	-3.3138857	1.1697915	0.9132929	-10.803677	6.3257675	0.4629593	36095.74665141106
49	-94.36667	12.916354	-50.0	-100.0	0.16666667	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	93.53333	100.0	99	-6.891786	5.6973386	-0.082891665	-31.20673	-6.891961	5.6970897	-0.08579835	-31.0561	-3.3063922	1.1685884	0.90371037	-9.763369	6.2347093	0.46698588	36849.656428813934
50	-95.5	14.856536	-24.0	-100.0	0.1	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	94.6	100.0	94	-6.837537	5.6420054	-0.085293025	-31.055784	-6.837482	5.6423626	-0.08284814	-31.509382	-3.3070064	1.1800315	1.0714397	-11.5703945	6.180549	0.45489776	37610.69552898407
51	-88.1	22.198122	-9.0	-100.0	0.13333334	0.16666667	0.0	-19.0	0.0	-19.0	-19.0	87.23333	20.0	43	-6.777903	5.560899	-0.07787903	-31.156158	-6.7779045	5.561228	-0.07492437	-31.173529	-3.3134747	1.1672189	1.0857267	-10.491826	6.124864	0.45306173	38302.4556581974
52	-83.23333	26.94152	-7.0	-100.0	0.23333333	0.2	0.033333335	-26.0	0.0	-26.0	-26.0	82.46667	27.0	99	-6.7669506	5.5193553	-0.07483895	-31.14998	-6.766987	5.519414	-0.07417083	-30.876938	-3.317578	1.1678857	0.46055365	-11.964818	6.1146054	0.4513613	38960.85131192207
53	-93.166664	13.286793	-54.0	-100.0	0.23333333	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	92.4	100.0	99	-6.711519	5.4458175	-0.06474887	-30.71807	-6.711625	5.4457464	-0.0633519	-30.505392	-3.3201494	1.1638606	1.0323334	-10.386548	6.0597863	0.44503582	39707.45418095589
54	-92.666664	18.916187	-9.0	-100.0	0.2	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	91.86667	100.0	99	-6.701176	5.412846	-0.0863163	-30.545076	-6.700904	5.412685	-0.067416534	-30.268139	-3.3282704	1.1627525	0.62465477	-10.579213	6.054502	0.45860392	40448.794102191925
55	-86.7	24.425602	-7.0	-100.0	0.23333333	0.1	0.0	-54.0	0.0	-54.0	-54.0	85.933334	54.0	99	-6.650982	5.3597856	-0.072335295	-30.582376	-6.650984	5.359822	-0.07312357	-30.324888	-3.3278897	1.1556921	0.77499104	-10.509514	6.008106	0.46600693	41138.4586250782
56	-89.433334	20.803339	-9.0	-100.0	0.23333333	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	88.666664	100.0	99	-6.6571503	5.337324	-0.062281378	-29.923685	-6.6572075	5.337594	-0.0595593	-30.027636	-3.3335128	1.159344	0.5357733	-11.492193	6.0111613	0.44928092	41858.20955133438
57	-92.5	14.635004	-51.0	-100.0	0.16666667	0.1	0.0	-100.0	0.0	-100.0	-100.0	91.666664	100.0	99	-6.6299477	5.298535	-0.06585804	-30.527206	-6.6296344	5.299018	-0.07796505	-30.169592	-3.3285754	1.1481259	0.6776743	-10.77409	5.990436	0.46545273	42599.05641937256
58	-80.76667	31.534832	-8.0	-100.0	0.2	0.16666667	0.0	-36.0	0.0	-36.0	-36.0	79.96667	37.0	67	-6.6375546	5.310771	-0.07223907	-30.856655	-6.6378756	5.310801	-0.06952943	-30.334967	-3.3098934	1.1720089	1.2229986	-11.050992	6.0009513	0.4657961	43241.98027038574
59	-94.4	13.052712	-53.0	-100.0	0.1	0.1	0.0	-68.0	0.0	-68.0	-68.0	93.5	69.0	66	-6.5935345	5.2682714	-0.069204845	-29.427555	-6.593568	5.268232	-0.062461127	-28.974756	-3.309832	1.1696408	0.57289743	-10.559549	5.9515085	0.46010467	43987.96211004257
60	-88.36667	20.74525	-8.0	-100.0	0.33333334	0.033333335	0.033333335	-20.0	0.0	-20.0	-20.0	87.7	21.0	99	-6.59091	5.2487926	-0.06349844	-29.474064	-6.590931	5.2489038	-0.06930672	-29.222403	-3.3049185	1.1725816	1.449686	-10.663562	5.949086	0.4585385	44684.109369039536
